Product,Count,Price
XgTgpwiUUz,123,664
yxuGRwRnID,109,54385
xtDRNmsdaX,106,69754
fOHNatoabK,105,66502
CdAxdOOSvf,104,99406
VbUmWDQgOF,103,71456
ICfksgeIHP,99,60704
jeDhxJSZFy,98,17037
mCJrfGWhkA,98,63809
hlwgLwmlhD,97,78100
yVOjeAHqQT,97,66656
bHWyqCzrUi,96,85599
stYZunzROa,96,13026
AlSSUMQLQN,95,9911
bgqNnMZEyZ,94,54814
oAiUiLziac,94,13492
aueHhPEOAv,94,55572
mbikstlHSp,93,29084
VDDHUxDkBi,93,39581
iTRJWrYciX,92,49698
mXxNNPscfC,92,33415
FtTzjJIqOq,92,5331
AdZTmnKBdJ,92,23872
MwIjdgfydi,91,78381
ZMlFBYuUGP,90,40872
FMbUwtBxYl,89,6126
Foiaqthnql,89,8985
tFZWZrCPNe,89,51249
KEDHBHEjbc,87,63255
EfuBQzvMwD,87,37043
KbVcIGYFKh,87,37110
rMvWybXdkz,87,9059
stoiZRWwyG,87,86581
RHQQauCuZp,87,27708
nGEKDceTtk,86,59082
lSbmPAvQpi,86,22594
eVzGrHuxbj,86,58121
FaaPFmaMNz,85,30030
LdezuztdUS,85,17330
eUQFWJEaLl,85,44086
plzfznYGCm,85,78651
YOyloVGRwT,84,10807
FfDODuZzGj,82,28740
bLcGcEOUAg,82,77951
BDoTqAszuG,82,19866
kezXZXCutx,82,26881
ZEOXWfFwBj,82,59188
EdKcunwBko,82,58414
doKjxyDzXQ,82,96749
wjQZBHFaBR,81,66187
DxAvpMgsQo,81,28242
dJnQHxWDSj,81,17323
ATnFXwAElG,80,16125
CMHWaVqxPZ,80,22619
eoTLKtpokt,80,97858
ewsOLYoGoz,79,73869
jEBSTJGbfo,79,78411
QqIuFVBiaz,79,11385
ujEKtjWWGk,79,71985
onzeNwNTwd,79,26525
EKAjIRGLrv,79,45455
swGtwvSxlg,79,27253
QNjXuPLBeO,79,13475
flrwEPFDBX,78,16655
JDvzpUledq,78,78080
glSArHWjLU,78,27881
fgqSQZTEnu,78,56205
ToIguJfaEg,78,82716
yMiJIRtena,78,5882
UPeLPeQXai,78,23394
WVWZBGglEv,77,10757
KsJkSgcBRX,77,83336
RFhjKBzniJ,77,20270
erWzCIvmXl,77,89238
gqynhoOLLQ,77,20705
NuhzTnynxt,77,51801
eQVysxpIyo,76,95436
RHssCsDMhh,76,82611
PhkefnzQrX,76,62303
RcoFWsPtqc,76,831
EMivIiZcIG,75,20750
yJxZDZUxwC,75,62920
RkLCTWpcBw,75,72979
liILtUbvQH,75,1775
YwhudeXjpH,75,55919
aPoXReWPmX,75,66657
KvfepbvYnK,75,27369
KKoiQSQteH,75,78553
PSXAvUBRaG,75,86813
zCgtzbgJpO,74,71614
CIrtoaHxAT,74,38317
xyoUwcdbYg,74,14008
rbcMWsKied,73,62910
MjNrNFTMyS,73,80936
wmIVdNAWwP,73,82573
nutQUrLktd,72,14882
IjHdXAdlrm,72,3893
fRUXRjzbvz,72,12226
oPnRAFvrhJ,72,25967
gORSYRbjsw,72,76960
